Timestamp,Electric Demand (Student 010 > Electric Meter) [(kWh)],Outdoor Dew Point (Student 010 > Weather Station) [(deg. F)],Outdoor Temperature (Student 010 > Weather Station) [(deg. F)],Optimal Electric Demand kWh (Student 010 > Electric Meter) [(kWh)]
01/22/2016 20:23:59,72.61679171,3.02,14,76.68800452
01/23/2016 00:23:59,81.1935999,7.2319976,17.60000075,68.47200168
01/23/2016 04:23:59,83.25520026,20.73199835,30.81199835,76.96599734
01/23/2016 08:23:59,79.70320249,24.98,37.04,80.20200339
01/23/2016 12:23:59,67.48479539,22.5680009,36.24800165,72.29200143
01/23/2016 16:23:59,65.03199887,22.85600255,28.58000075,66.36199827
01/23/2016 20:23:59,66.07280054,15.98,24.08,69.88800103
01/24/2016 00:23:59,67.47119949,10.8320066,20.5880009,67.43999721
01/24/2016 04:23:59,60.51840069,0.3919990999,16.4119991,70.53799932
01/24/2016 08:23:59,61.19520018,-0.94,21.02,73.37200064
01/24/2016 12:23:59,64.2975927,1.21999325,19.58000075,70.61000208
01/24/2016 16:23:59,69.58639984,9.75199835,17.85199835,68.04199889
01/24/2016 20:23:59,81.34560203,14,23,71.99600088
01/25/2016 00:23:59,88.09999302,18.3919991,25.4119991,79.52799365
01/25/2016 04:23:59,147.7079941,32.79199835,43.77199835,137.605989
01/25/2016 08:23:59,154.9343958,33.98,44.96,141.7799992
01/25/2016 12:23:59,149.5320058,22.42400345,37.54400495,131.3960094
01/25/2016 16:23:59,110.9504013,-5.98,25.6280009,86.36800169
01/25/2016 20:23:59,86.69281032,-5.98,19.04,81.78200323
01/26/2016 00:23:59,73.02719421,-8.75199835,15.62000075,82.38999579
01/26/2016 04:23:59,136.4063983,-11.92,13.3519991,127.1479883
01/26/2016 08:23:59,146.2911867,-11.02,19.94,139.7459996
01/26/2016 12:23:59,143.2560025,-10.5880009,19.04,130.4940082
01/26/2016 16:23:59,88.81761243,-7.06,17.06,89.24400287
01/26/2016 20:23:59,72.76640545,-5.98,17.06,82.4140037
01/27/2016 00:23:59,87.91599205,8.96,14,76.28199293
01/27/2016 04:23:59,149.3927952,8.96,14,130.177996
01/27/2016 08:23:59,158.6015957,5,23,139.1040003
01/27/2016 15:11:59,126.1976146,0.2480043999,19.219999,94.56200832
01/27/2016 19:11:59,95.12560679,-3.7840012,16.0520056,86.54200666
01/27/2016 23:11:59,81.55359744,-2.92,12.02,76.16399664
01/28/2016 03:11:59,134.6487811,-0.760001,9.3559978,113.3839811
01/28/2016 07:11:59,206.7479589,3.6319966,25.1959988,140.7320028
01/28/2016 11:11:59,234.11921,8.5640022,26.96,137.5500056
01/28/2016 15:11:59,184.4208111,9.8240012,19.760001,95.56001028
01/28/2016 19:11:59,132.7720061,12.02,18.6440022,81.4640082
01/28/2016 23:11:59,116.8471957,16.3759978,20.3359978,71.17399464
01/29/2016 03:11:59,206.7223831,22.6040022,29.1559988,115.6119813
01/29/2016 07:11:59,231.5199975,10.5440022,36.2479934,145.1559987
01/29/2016 11:11:59,232.2248155,14.2159988,41.8640012,140.6180076
01/29/2016 15:11:59,163.4584144,17.780001,37.04,90.05400726
01/29/2016 19:11:59,124.6231994,19.219999,34.8440012,81.9880069
01/29/2016 23:11:59,117.9304009,19.04,34.8440012,71.58000039
01/30/2016 03:11:59,93.93676366,19.94,33.259999,74.85799673
01/30/2016 07:11:59,116.7216054,19.94,41.3959978,88.52200716
01/30/2016 11:11:59,115.9640017,23.7919956,39.740001,74.19200366
01/30/2016 15:11:59,117.4736013,29.1559988,35.06,66.92400087
01/30/2016 19:11:59,116.1560006,31.7479954,34.5919966,70.35200321
01/30/2016 23:11:59,116.9216006,36.2479984,39.0559998,64.96600147
01/31/2016 03:11:59,107.139199,35.4920006,35.6719996,60.98999739
01/31/2016 07:11:59,107.9648,36.6440022,49.9279944,78.21400231
01/31/2016 11:11:59,106.5224,35.96,51.440009,73.14200666
01/31/2016 15:11:59,116.5336002,35.780001,46.760001,70.92000006
01/31/2016 19:11:59,116.1344011,31.7840012,42.5840022,73.40800451
01/31/2016 23:11:59,119.8159902,29.8040012,39.02,75.07399276
02/01/2016 03:11:59,143.0079868,28.5079994,37.5079994,119.3639823
02/01/2016 07:11:59,156.0688017,30.1640002,32,134.3680005
02/01/2016 11:11:59,149.5120095,28.760001,30.92,138.4560019
02/01/2016 15:11:59,115.9440088,26.6719996,30.1640002,96.56201266
02/01/2016 19:11:59,82.61120412,23.6480024,27.6440022,79.95200804
02/01/2016 23:11:59,77.7567976,18.8240012,24.800001,72.65199532
02/02/2016 03:11:59,136.2943833,15.98,22.1359988,116.6299831
02/02/2016 07:11:59,158.3799956,17.06,31.1359988,139.9820022
02/02/2016 11:11:59,163.4456103,20.1559988,32.8640012,137.7760048
02/02/2016 15:11:59,115.3088115,23,28.94,93.36201077
02/02/2016 19:11:59,82.52240005,24.08,26.96,78.21800784
02/02/2016 23:11:59,81.47679746,24.98,28.94,71.89599569
02/03/2016 05:59:59,147.6840017,28.939996,30.919996,134.8499978
02/03/2016 09:59:59,145.6280034,30.02,33.0799985,138.0999964
02/03/2016 13:59:59,124.8200142,24.98000825,28.040007,114.4500196
02/03/2016 17:59:59,86.74800812,23,26.96,80.27000244
02/03/2016 21:59:59,78.59199922,19.9400015,24.9800015,69.32000203
02/04/2016 01:59:59,116.1879671,17.96,22.9999985,97.67997953
02/04/2016 05:59:59,156.2479981,12.02000275,22.9999985,137.4999962
02/04/2016 09:59:59,165.7679978,10.04,28.0399985,139.8499985
02/04/2016 13:59:59,131.6440204,15.079993,24.0800055,108.6000193
02/04/2016 17:59:59,87.62401564,12.9200015,19.94000275,80.330002
02/04/2016 21:59:59,81.13600218,8.06,17.96000275,72.28000331
02/05/2016 01:59:59,121.3839639,6.98,14.0000015,95.27998304
02/05/2016 05:59:59,158.039999,8.95999725,24.07999425,138.6299972
02/05/2016 09:59:59,161.1560056,8.05999725,30.91999875,140.1899998
02/05/2016 13:59:59,129.6440197,10.0399985,24.9800055,107.08002
02/05/2016 17:59:59,102.3320196,15.0799985,24.08,81.10000106
02/05/2016 21:59:59,81.02399861,12.920003,19.9400015,67.33000244
02/06/2016 01:59:59,80.99999838,5.00000275,14.00000275,68.2499994
02/06/2016 05:59:59,85.16000076,-0.03999849997,21.01999725,84.47999457
02/06/2016 09:59:59,79.81600133,3.01999725,30.0199985,78.08000228
02/06/2016 13:59:59,85.77199457,3.9200015,28.04000125,73.55000122
02/06/2016 17:59:59,81.90000161,6.97999725,24.9800015,75.57999828
02/06/2016 21:59:59,81.98399859,3.02000125,24.97999875,73.14000118
02/07/2016 01:59:59,80.96800115,6.08000125,21.9200015,70.32000004
02/07/2016 05:59:59,75.71999756,12.919996,24.97999725,71.98999872
02/07/2016 09:59:59,73.6320016,17.06,31.9999985,72.01000026
02/07/2016 13:59:59,82.69199713,19.04000125,28.04000275,67.81000125
02/07/2016 17:59:59,81.16400106,21.01999725,24.98000275,68.03000147
02/07/2016 21:59:59,79.952,21.02,24.08,66.96999897
02/08/2016 01:59:59,121.2319665,12.92000425,19.94000275,99.06998238
02/08/2016 05:59:59,161.2839941,10.04000125,24.97999725,138.6899967
02/08/2016 09:59:59,164.5080021,6.98000275,28.93999875,140.2399984
02/08/2016 13:59:59,133.9080146,3.02000125,24.080004,106.9500206
02/08/2016 17:59:59,88.92401612,3.92,19.9400015,83.37000019
